,Nationality Country,Lat,Lng
177,Sierra Leone,8.401983333333334,-11.972316666666664
178,Singapore,1.3,103.8
179,Slovakia,48.67819913793103,19.133431896551727
180,Slovenia,46.236875471698106,15.090010849056602
181,Solomon Islands,-9.222844444444444,160.1642222222222
182,Somalia,5.603020689655173,45.82906551724138
183,South Africa,-29.90152095238095,24.611102857142846
184,South Georgia And South Sandwich Islands,-54.2806,-36.508
185,South Sudan,6.786229411764705,30.460676470588236
186,Spain,39.541228000000004,-3.7732208000000003
187,Sri Lanka,7.479935,80.46476499999999
188,Sudan,15.022675675675671,31.60221351351351
189,Suriname,5.513478571428572,-55.171164285714276
190,Swaziland,-26.562344444444445,31.458933333333334
191,Sweden,59.35211372549018,15.446150980392154
192,Switzerland,47.024755279503125,7.9581919254658375
193,Syria,35.02594262295082,37.28326885245904
194,São Tomé & Príncipe,0.4862714285714286,6.771628571428571
195,Taiwan,24.17761612903226,120.73345483870969
196,Tajikistan,38.80213125,69.45647500000001
197,Tanzania,-5.925366666666668,35.21204126984127
198,Thailand,13.808058011049729,100.93657458563538
199,Timor-Leste,-8.803238461538461,125.67535384615385
200,Togo,8.68232222222222,0.8600111111111111
201,Tonga,-19.89215,-174.5958
202,Trinidad & Tobago,10.509688235294119,-61.38275294117646
203,Tunisia,35.26224642857143,9.984471428571428
204,Turkey,38.99789183673467,34.06797653061225
205,Turkmenistan,39.037200000000006,59.363543478260866
206,Turks And Caicos Islands,21.4664,-71.136
207,Tuvalu,-8.5167,179.2167
208,Uganda,1.0426700000000002,32.32043153846155
209,Ukraine,48.85896550632913,31.480982911392438
210,United Arab Emirates,24.983555555555554,55.30874444444444
211,United Kingdom,52.751392491657406,-1.6631784760845392
212,United States,38.36516287332641,-89.44866972193607
213,Uruguay,-33.62246909090909,-56.018887272727284
214,Uzbekistan,40.692264285714266,66.23005357142857
215,Vanuatu,-16.3457,167.95356666666666
216,Venezuela,9.539313186813187,-67.53962857142855
217,Vietnam,15.818778947368424,106.47793815789471
218,Wallis And Futuna,-14.2933,-178.1583
219,West Bank,31.7764,35.2269
220,Yemen,14.599500000000003,45.55796666666667
221,Zambia,-13.34201714285714,27.707497142857147
222,Zimbabwe,-18.807484615384613,29.94785
223,Montserrat,16.7425,-62.1874
224,Montserrat,16.7425,-62.1874
225,Palestine,31.9522,35.2332
