,Nationality Country,Lat,Lng
0,Afghanistan,34.75543863636363,67.48848181818181
1,Albania,41.13724,19.950259999999993
2,Algeria,33.19964193548387,3.3454919354838704
3,American Samoa,-14.274,-170.7046
4,Andorra,42.52242857142857,1.5349285714285714
5,Angola,-11.636753061224486,16.219473469387758
6,Antigua & Barbuda,17.1211,-61.8447
7,Argentina,-34.30501976284585,-62.60579525691704
8,Armenia,40.35441333333333,44.92054333333333
9,Aruba,12.5186,-70.0358
10,Australia,-30.958919667590017,142.8777559556786
11,Austria,47.763749253731326,14.648239552238815
12,Azerbaijan,40.22720853658537,47.55426951219511
13,"Bahamas, The",26.0,-77.73443333333334
14,Bahrain,26.188274999999997,50.565375
15,Bangladesh,24.055038888888888,90.07770555555555
16,Barbados,13.0975,-59.6167
17,Belarus,53.507750561797764,27.81000337078652
18,Belgium,50.69471428571428,4.416037662337663
19,Belize,17.4213125,-88.49522499999999
20,Benin,7.926953846153846,2.1897923076923074
21,Bermuda,32.2942,-64.7839
22,Bhutan,27.308895,90.35260999999998
23,Bolivia,-17.433516049382714,-65.2676049382716
24,Bosnia & Herzegovina,44.251840625,17.7765125
25,Botswana,-22.345332000000003,24.912388
26,Brazil,-18.886964213197963,-47.96536230964465
27,Brunei,4.725060000000001,114.63062
28,Bulgaria,42.70888270676689,25.213678195488722
29,Burkina Faso,12.266390624999996,-1.7249062499999999
30,Burma,19.154507499999994,96.0032975
31,Burundi,-3.3234473684210535,29.772989473684213
32,Cambodia,12.300307407407404,104.77885555555558
33,Cameroon,5.829438235294119,11.683514705882352
34,Canada,46.990228640000026,-85.70689487999994
35,Cape Verde,15.74326086956522,-24.05410434782609
36,Cayman Islands,19.2866,-81.3744
37,Central African Republic,5.787787999999999,19.561480000000003
38,Chad,12.646831034482757,17.57201724137931
39,Chile,-35.07202522522523,-72.02124504504505
40,China PR,33.95992034632036,113.84381818181822
41,Colombia,5.857886666666666,-74.57646266666666
42,Comoros,-11.853340000000001,43.59252
43,Congo,-2.004277777777778,14.452816666666665
44,Cook Islands,-21.207,-159.771
45,Costa Rica,9.90225,-84.15341111111111
46,Croatia,45.186360416666666,16.352641666666667
47,Cuba,21.90979411764706,-79.5106985294118
48,Curaçao,12.1167,-68.9333
49,Cyprus,35.00065,33.28925
50,Czech Republic,49.8443033088235,15.556027573529414
51,Côte D’Ivoire,6.842259999999999,-5.494828
52,DR Congo,-3.2860146067415728,22.889988764044936
53,Denmark,55.94996666666666,10.631316666666665
54,Djibouti,11.522633333333332,42.874300000000005
55,Dominica,15.3,-61.3833
56,Dominican Republic,18.900439393939394,-70.31602424242425
57,Ecuador,-1.2852922077922078,-79.83375844155846
58,Egypt,28.868325882352945,31.301181176470593
59,El Salvador,13.691471428571429,-88.89087857142856
60,Equatorial Guinea,1.736015384615385,9.868807692307692
61,Eritrea,14.856959999999999,39.36667333333334
62,Estonia,58.868204,25.719316000000003
63,Ethiopia,9.14540238095238,38.68083333333333
64,Falkland Islands (Islas Malvinas),-51.7,-57.85
65,Faroe Islands,61.96147586206895,-6.809044827586207
66,Fiji,-17.671214285714285,178.05688571428573
67,Finland,62.1753757009346,24.725846728971955
68,France,47.43133671171167,2.8038941441441434
69,French Guiana,5.013071428571429,-52.76177142857143
70,French Polynesia,-17.5334,-149.5667
71,Gabon,-0.7962105263157896,11.402147368421051
72,Gambia,13.434722222222222,-15.658377777777778
73,Georgia,41.976544736842115,43.7498947368421
