,Nationality Country,Age_mean,Age_min,Age_max,Overall_mean,Overall_min,Overall_max,Potential_mean,Potential_min,Potential_max,International Reputation_mean,International Reputation_min,International Reputation_max,Wage_mean,Wage_min,Wage_max,Value_mean,Value_min,Value_max,Release Clause_mean,Release Clause_min,Release Clause_max,Lat,Lng
25,Canada,24.25,17,38,62.9375,47,75,69.21875,57,87,1.015625,1.0,2.0,3812.5,0.0,44000.0,925937.5,0.0,9500000.0,1857741.3793103448,13000.0,20000000.0,46.99022864000005,-85.7068948799998
26,Cape Verde,27.42105263157895,20,34,71.63157894736842,65,79,73.73684210526316,67,87,1.105263157894737,1.0,2.0,11526.315789473685,1000.0,53000.0,4426578.947368421,230000.0,14500000.0,8849263.157894736,483000.0,31500000.0,15.743260869565228,-24.054104347826083
27,Central African Republic,25.666666666666668,25,27,73.33333333333333,68,82,76.0,71,85,1.3333333333333333,1.0,2.0,19000.0,3000.0,46000.0,10050000.0,950000.0,27500000.0,21700000.0,1700000.0,59800000.0,5.787787999999999,19.561480000000003
28,Chad,22.5,20,25,70.0,67,73,78.0,78,78,1.0,1.0,1.0,12000.0,4000.0,20000.0,3400000.0,1300000.0,5500000.0,7150000.0,2900000.0,11400000.0,12.646831034482757,17.57201724137931
29,Chile,25.074168797953963,17,38,64.9923273657289,47,85,70.6854219948849,57,85,1.0824742268041236,1.0,4.0,5176.470588235294,1000.0,215000.0,1343171.3554987211,40000.0,37500000.0,2321176.1363636362,62000.0,69400000.0,-35.07202522522504,-72.0212450450453
30,China PR,26.084183673469386,17,39,59.910714285714285,47,76,63.71938775510204,51,79,1.005128205128205,1.0,2.0,3125.0,1000.0,19000.0,355420.9183673469,10000.0,9000000.0,796470.8994708995,22000.0,20500000.0,33.95992034632036,113.8438181818181
31,Colombia,25.241100323624597,16,40,65.57605177993527,48,88,71.042071197411,56,89,1.0535714285714286,1.0,4.0,5415.857605177994,1000.0,315000.0,1785946.6019417476,0.0,69500000.0,2663312.2807017546,54000.0,65500000.0,5.857886666666672,-74.57646266666625
32,Comoros,26.5,24,30,67.5,60,73,69.33333333333333,60,74,1.0,1.0,1.0,4500.0,1000.0,8000.0,1391666.6666666667,200000.0,4000000.0,2141666.6666666665,350000.0,5200000.0,-11.853340000000001,43.59252
33,Congo,23.96,18,30,63.92,53,75,69.64,61,77,1.04,1.0,2.0,4440.0,1000.0,21000.0,978400.0,100000.0,8000000.0,1937409.0909090908,183000.0,16600000.000000002,-2.0042777777777783,14.452816666666665
34,Costa Rica,26.4,19,33,68.86666666666666,59,87,71.63333333333334,62,87,1.1666666666666667,1.0,3.0,13566.666666666666,1000.0,195000.0,2910666.6666666665,260000.0,30500000.0,5365966.666666667,390000.0,62500000.0,9.90225,-84.1534111111111
35,Croatia,24.88095238095238,17,38,69.56349206349206,50,91,74.4920634920635,55,91,1.2777777777777777,1.0,4.0,21682.539682539682,1000.0,420000.0,5223849.206349206,40000.0,67000000.0,9489575.221238937,73000.0,137400000.0,45.18636041666657,16.352641666666628
36,Cuba,23.75,18,32,66.0,60,76,72.75,64,76,1.0,1.0,1.0,3250.0,1000.0,8000.0,1487500.0,350000.0,4400000.0,2328250.0,534000.0,6600000.0,21.90979411764706,-79.5106985294118
37,Curaçao,25.357142857142858,19,29,67.57142857142857,59,74,70.28571428571429,65,76,1.0,1.0,1.0,8857.142857142857,1000.0,46000.0,1648571.4285714286,180000.0,6500000.0,2449307.6923076925,351000.0,9900000.0,12.1167,-68.93330000000002
38,Cyprus,24.0,18,30,64.125,52,74,70.125,65,78,1.0,1.0,1.0,5250.0,1000.0,13000.0,1238125.0,90000.0,6000000.0,1998125.0,214000.0,9500000.0,35.00065,33.28925
39,Czech Republic,26.76,18,38,69.51,55,82,72.78,59,86,1.14,1.0,4.0,7950.0,0.0,60000.0,2837200.0,0.0,19500000.0,5649419.354838709,88000.0,34600000.0,49.84430330882342,15.556027573529432
40,Côte D’Ivoire,25.18,18,34,69.39,56,82,74.12,59,88,1.19,1.0,3.0,12710.0,0.0,105000.0,3460200.0,0.0,28500000.0,7374469.879518072,218000.0,56300000.0,6.842260000000007,-5.494827999999995
41,DR Congo,25.75,19,32,69.21153846153847,56,82,72.38461538461539,61,83,1.0961538461538463,1.0,2.0,13769.23076923077,1000.0,76000.0,3160480.769230769,120000.0,26000000.0,6287833.333333333,219000.0,59200000.0,-3.28601460674157,22.889988764044936
42,Denmark,24.145833333333332,16,36,63.717261904761905,48,88,70.05059523809524,55,91,1.0686567164179104,1.0,3.0,6913.690476190476,1000.0,205000.0,1787351.1904761905,40000.0,73500000.0,3140944.099378882,58000.0,141500000.0,55.949966666666924,10.631316666666738
43,Dominican Republic,23.0,22,24,72.0,64,80,80.5,76,85,1.0,1.0,1.0,71000.0,2000.0,140000.0,10400000.0,800000.0,20000000.0,21950000.0,1400000.0,42500000.0,18.900439393939394,-70.31602424242425
44,Ecuador,25.162790697674417,18,33,68.79069767441861,58,81,72.93023255813954,64,81,1.0930232558139534,1.0,2.0,11116.279069767443,0.0,120000.0,1987790.6976744186,0.0,10000000.0,5042142.857142857,414000.0,18500000.0,-1.2852922077922087,-79.8337584415585
45,Egypt,26.967741935483872,20,34,70.2258064516129,62,88,72.64516129032258,66,89,1.1935483870967742,1.0,3.0,16870.967741935485,0.0,255000.0,4295967.741935484,0.0,69500000.0,13184550.0,525000.0,137300000.0,28.86832588235293,31.30118117647058
46,El Salvador,26.2,21,33,66.0,63,70,69.6,64,75,1.0,1.0,1.0,2600.0,1000.0,5000.0,795000.0,325000.0,1400000.0,1435800.0,488000.0,2800000.0,13.691471428571429,-88.89087857142856
47,Equatorial Guinea,25.4,21,33,70.0,67,77,75.2,68,80,1.2,1.0,2.0,17200.0,1000.0,65000.0,2790000.0,450000.0,9000000.0,5581600.0,608000.0,17800000.0,1.736015384615385,9.868807692307692
48,Eritrea,27.0,21,33,67.5,63,72,68.5,65,72,1.0,1.0,1.0,6000.0,4000.0,8000.0,1237500.0,475000.0,2000000.0,1671500.0,843000.0,2500000.0,14.856959999999999,39.36667333333334
49,Estonia,27.153846153846153,21,33,64.92307692307692,61,77,67.76923076923077,61,77,1.0833333333333333,1.0,2.0,3846.153846153846,1000.0,30000.0,792307.6923076923,240000.0,5000000.0,1271666.6666666667,325000.0,8500000.0,58.868204,25.719315999999996
50,Ethiopia,32.0,32,32,64.0,64,64,64.0,64,64,1.0,1.0,1.0,1000.0,1000.0,1000.0,250000.0,250000.0,250000.0,313000.0,313000.0,313000.0,9.14540238095238,38.68083333333333
51,Faroe Islands,24.166666666666668,20,26,62.5,50,67,66.16666666666667,64,68,1.0,1.0,1.0,2666.6666666666665,1000.0,5000.0,526666.6666666666,60000.0,900000.0,788600.0,113000.0,1300000.0,61.961475862068944,-6.809044827586207
52,Fiji,30.0,30,30,71.0,71,71,71.0,71,71,1.0,1.0,1.0,4000.0,4000.0,4000.0,2300000.0,2300000.0,2300000.0,2900000.0,2900000.0,2900000.0,-17.671214285714285,178.05688571428573
53,Finland,24.761194029850746,17,35,64.02985074626865,50,84,69.85074626865672,57,84,1.044776119402985,1.0,2.0,5208.955223880597,0.0,74000.0,1454477.6119402985,0.0,22000000.0,2646375.0,167000.0,37400000.0,62.17537570093462,24.72584672897193
54,France,24.61597374179431,16,41,67.79868708971554,50,89,73.44748358862144,55,95,1.2063666300768385,1.0,4.0,14053.610503282276,1000.0,240000.0,3679819.474835886,0.0,81000000.0,7394348.182883939,35000.0,166100000.0,47.431336711711715,2.8038941441441265
55,Gabon,26.066666666666666,21,35,69.46666666666667,58,88,72.26666666666667,59,88,1.2,1.0,3.0,26933.333333333332,1000.0,265000.0,6628333.333333333,120000.0,59000000.0,13606428.57142857,219000.0,112100000.0,-0.7962105263157896,11.402147368421053
56,Gambia,23.2,19,30,67.2,58,76,73.93333333333334,64,85,1.0,1.0,1.0,8133.333333333333,1000.0,28000.0,2031333.3333333333,170000.0,8500000.0,4233846.153846154,281000.0,15100000.0,13.434722222222227,-15.658377777777782
57,Georgia,24.03846153846154,18,31,68.34615384615384,58,76,73.8076923076923,65,86,1.0384615384615385,1.0,2.0,4192.307692307692,1000.0,13000.0,2268461.5384615385,180000.0,8500000.0,4404040.0,279000.0,18500000.0,41.97654473684212,43.7498947368421
58,Germany,24.33806343906511,17,39,66.08681135225376,47,90,71.69949916527545,57,92,1.1389121338912134,1.0,5.0,9639.398998330551,1000.0,355000.0,2529307.178631052,10000.0,76500000.0,4577843.61424848,15000.0,156800000.0,50.660600684932064,9.856621855541878
59,Ghana,23.657894736842106,17,33,67.04385964912281,51,82,73.08771929824562,61,88,1.1140350877192982,1.0,3.0,9614.035087719298,1000.0,65000.0,2551447.3684210526,50000.0,25500000.0,4574421.568627451,98000.0,57400000.0,7.43571999999998,-0.97372
60,Greece,24.480392156862745,17,39,69.06862745098039,53,85,74.42156862745098,63,87,1.1764705882352942,1.0,3.0,7803.921568627451,0.0,140000.0,3034264.705882353,0.0,37500000.0,6394520.408163265,57000.0,66599999.99999999,38.74072079999997,23.392959199999964
61,Grenada,25.0,25,25,63.0,63,63,68.0,68,68,1.0,1.0,1.0,3000.0,3000.0,3000.0,425000.0,425000.0,425000.0,776000.0,776000.0,776000.0,12.0444,-61.7417
62,Guam,30.0,30,30,67.0,67,67,67.0,67,67,1.0,1.0,1.0,3000.0,3000.0,3000.0,550000.0,550000.0,550000.0,825000.0,825000.0,825000.0,13.47185,144.7418
63,Guatemala,26.666666666666668,22,32,63.666666666666664,58,68,67.66666666666667,67,68,1.0,1.0,1.0,1333.3333333333333,1000.0,2000.0,415000.0,170000.0,550000.0,618666.6666666666,281000.0,866000.0,15.057587878787878,-90.51881515151514
64,Guinea,24.677419354838708,19,33,68.12903225806451,59,83,72.87096774193549,65,88,1.1290322580645162,1.0,2.0,12225.806451612903,1000.0,120000.0,3423064.5161290322,210000.0,34000000.0,6729233.333333333,385000.0,67200000.0,10.25463448275862,-11.55892413793104
65,Guinea-Bissau,23.133333333333333,18,29,67.26666666666667,58,76,73.13333333333334,67,85,1.0,1.0,1.0,6333.333333333333,1000.0,48000.0,2221333.3333333335,220000.0,10500000.0,4556428.571428572,429000.0,23100000.0,11.932109090909089,-15.266636363636364
66,Guyana,27.333333333333332,20,35,61.666666666666664,57,65,66.33333333333333,63,70,1.0,1.0,1.0,1666.6666666666667,1000.0,2000.0,276666.6666666667,150000.0,500000.0,493000.0,263000.0,788000.0,6.179791666666667,-58.42143333333333
67,Haiti,23.9,20,30,63.4,52,73,69.9,60,78,1.0,1.0,1.0,3900.0,1000.0,17000.0,928500.0,70000.0,3000000.0,1675100.0,137000.0,5900000.0,18.90354,-72.59085333333336
68,Honduras,26.8125,18,35,69.1875,62,75,72.3125,62,82,1.125,1.0,2.0,7500.0,1000.0,26000.0,2527187.5,160000.0,9500000.0,4632266.666666667,240000.0,16300000.0,14.929874285714279,-87.25819999999999
69,Hong Kong,28.0,18,38,60.5,59,62,66.5,62,71,1.0,1.0,1.0,1500.0,1000.0,2000.0,145000.0,40000.0,250000.0,287000.0,86000.0,488000.0,22.305,114.185
70,Hungary,25.526315789473685,17,31,69.23684210526316,51,80,73.21052631578948,64,83,1.1842105263157894,1.0,3.0,6631.578947368421,0.0,48000.0,1897500.0,0.0,13000000.0,6028428.571428572,152000.0,23100000.0,47.24939086956516,19.581271739130443
71,Iceland,25.872340425531913,18,35,66.8936170212766,54,82,71.38297872340425,64,82,1.127659574468085,1.0,3.0,8148.936170212766,0.0,125000.0,1638723.4042553192,0.0,22500000.0,4054882.3529411764,225000.0,42800000.0,64.63202307692303,-20.44217692307691
72,India,24.933333333333334,19,33,58.666666666666664,53,67,63.6,56,71,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20.824179445727474,79.70409284064662
73,Indonesia,17.0,17,17,56.0,56,56,74.0,74,74,1.0,1.0,1.0,1000.0,1000.0,1000.0,180000.0,180000.0,180000.0,356000.0,356000.0,356000.0,-3.2724916030534357,112.61740076335879
74,Iran,25.235294117647058,21,31,68.82352941176471,61,77,72.76470588235294,64,80,1.0588235294117647,1.0,2.0,11294.117647058823,1000.0,51000.0,2627941.1764705884,270000.0,11500000.0,5011411.764705882,392000.0,22700000.0,33.90697287234041,51.103522340425556
75,Iraq,25.142857142857142,22,29,67.0,58,72,71.14285714285714,64,75,1.0,1.0,1.0,5857.142857142857,2000.0,16000.0,1732857.142857143,230000.0,3900000.0,2562333.3333333335,380000.0,6300000.0,33.66783414634147,44.59536341463416
76,Israel,28.214285714285715,24,32,72.14285714285714,65,80,73.0,67,80,1.2142857142857142,1.0,2.0,15857.142857142857,1000.0,40000.0,4191071.4285714286,450000.0,14500000.0,8309307.692307692,821000.0,31200000.0,32.246569565217385,34.99103043478261
77,Italy,25.928774928774928,17,40,68.15811965811966,47,89,72.69088319088318,53,93,1.2074391988555078,1.0,4.0,13478.632478632479,1000.0,215000.0,3047571.225071225,10000.0,62000000.0,5548557.858376511,15000.0,105900000.0,42.68140760869573,12.651448913043406
